date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
2019-09-29,2019,0,0,CHI,MIN,1583.9020895963,1554.66651219904,0.6323853250790231,16,6,1
2019-09-29,2019,0,0,DEN,JAX,1406.27508213068,1461.43487376262,0.51415741289543,24,26,0
2019-09-29,2019,0,0,NO,DAL,1615.92351738268,1590.64425686682,0.6270750876971939,12,10,1
2019-09-30,2019,0,0,PIT,CIN,1523.85799156991,1381.26092992517,0.7676385317725818,27,3,1
2019-10-03,2019,0,0,SEA,LAR,1575.03182989028,1595.23137298171,0.5641180677759954,30,29,1
2019-10-06,2019,0,0,CAR,JAX,1528.98201737041,1472.78282416701,0.6676728957356927,34,27,1
2019-10-06,2019,0,0,PIT,BAL,1537.52700615854,1544.28714838912,0.5830375859960025,23,26,0
2019-10-06,2019,0,0,NYG,MIN,1429.92882891046,1537.76063470542,0.4386704560532147,10,28,0
2019-10-06,2019,0,0,NO,TB,1623.79452050997,1483.50513743694,0.7652606388504105,31,24,1
2019-10-06,2019,0,0,CIN,ARI,1367.59191533654,1336.54827282498,0.6348015784937676,23,26,0
2019-10-06,2019,0,0,HOU,ATL,1517.43701337764,1474.76884936333,0.6501702794591802,53,32,1
2019-10-06,2019,0,0,WSH,NE,1370.16400632185,1693.93299608578,0.18398266672621238,7,33,0
2019-10-06,2019,0,0,TEN,BUF,1542.41866935794,1482.18948042011,0.672800144237976,7,14,0
2019-10-06,2019,1,0,OAK,CHI,1431.90674506192,1600.80796708992,0.2744275595059409,24,21,1
2019-10-06,2019,0,0,PHI,NYJ,1574.91310166869,1340.9012587603,0.8482898424233134,31,6,1
2019-10-06,2019,0,0,LAC,DEN,1572.04826731323,1394.92713172629,0.8011920334328384,13,20,0
2019-10-06,2019,0,0,DAL,GB,1582.77325373953,1498.35605647044,0.7026845819022682,24,34,0
2019-10-06,2019,0,0,KC,IND,1665.08784610098,1532.62028170166,0.7570759389155217,13,19,0
2019-10-07,2019,0,0,SF,CLE,1508.55676006768,1488.35975077262,0.6202085270941381,31,3,1
2019-10-10,2019,0,0,NE,NYG,1704.7841910382,1404.58939462703,0.891119756994916,35,14,1
2019-10-13,2019,1,0,TB,CAR,1474.57582588342,1542.08145781245,0.4040558955602119,26,37,0
2019-10-13,2019,0,0,JAX,NO,1459.68338372497,1632.72383206349,0.34934244528893527,6,13,0
2019-10-13,2019,0,0,MIN,PHI,1563.10006898885,1583.61598116315,0.5636702109423039,38,20,1
2019-10-13,2019,0,0,KC,HOU,1632.71839430792,1538.05475015541,0.714858244098631,24,31,0
2019-10-13,2019,0,0,BAL,CIN,1560.89195622049,1349.18803485451,0.831014707855256,23,17,1
2019-10-13,2019,0,0,CLE,SEA,1463.73592601604,1580.95384161463,0.42541314054403734,28,32,0
